id,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,pow_max,churn,tenure,months_activ,months_to_end,months_modif_prod,months_renewal,channel_epu,channel_ewp,channel_fix,channel_foo,channel_lmk,channel_sdd,channel_usi,origin_ewx,origin_kam,origin_ldk,origin_lxi,origin_usa,activity_apd,activity_ckf,activity_clu,activity_cwo,activity_fmw,activity_kkk,activity_kwu,activity_sfi,activity_wxe
48ada52261e7cf58715202705a0451c9,5.490346219802813,0.0,4.001127700277035,4.423594808156156,0.0,2.5566522082644263,0.095919,0.08834700000000001,58.99595196,0,2.9205407165024795,-41.76,-41.76,1,198.34642448260695,18.40291183544356,0,3,37.0,10.0,37.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24011ae4ebbe3035111d65fa7c15bc57,4.327104435066101,4.739943985767471,0.0,3.085952677041698,0.0,0.44404479591807633,0.114481,0.098142,40.606701,1,0.0,25.44,25.44,2,678.99,43.648,1,3,30.0,5.0,2.0,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d29c2c54acc38ff3c0614d0a653813dd,3.6684791029325856,0.0,0.0,2.2809196627093367,0.0,1.2372923375674587,0.14571099999999998,0.0,44.31137796,0,0.0,16.38,16.38,1,18.89,13.8,0,7,76.0,7.0,76.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
764c75f661154dac3a6c254cd082ea7d,2.7363965022766426,0.0,0.0,1.6898414091375047,0.0,1.5990092398233435,0.165794,0.087899,44.31137796,0,0.0,28.6,28.6,1,6.6,13.856,0,6,68.0,3.0,68.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bba03439a292a1e166f80264c16191cb,3.2000292665537704,0.0,0.0,2.382089118665301,0.0,1.3186892699477457,0.14669400000000002,0.0,44.31137796,0,0.0,30.22,30.22,1,25.46,13.2,0,6,69.0,2.0,69.0,9.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
568bb38a1afd7c0fc49c77b3789b59a3,5.083989673758174,0.0,4.0934567074986035,4.036070500061005,0.0,2.2348714585627025,0.11008299999999999,0.09374600000000001,40.606701,0,3.0225809454815096,-3.18,-3.18,1,823.18,75.0,0,6,68.0,3.0,68.0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
149d57cf92fc41cf94415803a877cb4b,3.6460114095912393,0.0,2.7218106152125467,2.6500645611776816,0.0,2.122969094393747,0.1169,0.10001499999999999,40.606701,0,1.7268901407418216,44.91,44.91,1,47.98,19.8,0,6,71.0,2.0,71.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1aa498825382410b098937d65c4ec26d,3.919235037923251,0.0,3.3008127941181167,2.9019702364026405,0.0,1.4930395883176515,0.164775,0.086131,45.30837756,0,2.2605722081234925,33.12,33.12,1,118.89,13.2,1,5,48.0,11.0,2.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7ab4bf4878d8f7661dfc20e9b8e18011,4.6541572822721164,0.0,0.0,3.906888602918526,0.0,0.0,0.166178,0.087538,44.31137796,0,0.0,4.04,4.04,1,346.63,15.0,1,5,48.0,11.0,48.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01495c955be7ec5e7f3203406785aae0,4.470601573789659,0.0,3.1007150865730817,2.9373824673136526,0.0,2.16283314387816,0.115174,0.098837,40.606701,0,1.8550949511586219,53.92,53.92,1,100.09,26.4,0,6,68.0,3.0,68.0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f53a254b1115634330c12c7fdbf7958a,3.471731651480051,0.0,0.0,2.6487307109363285,0.0,1.2265999052073575,0.14571099999999998,0.0,44.31137796,0,0.0,12.82,12.82,1,42.59,13.2,0,5,51.0,8.0,51.0,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10c1b2f97a2d2a6f10299dc213d1a370,4.416057729263038,0.0,3.3402457615679317,3.437607887914937,0.0,2.1186945078978376,0.11576099999999999,0.09941900000000001,40.606701,0,2.343585820691403,33.42,33.42,1,329.6,31.5,0,6,67.0,4.0,8.0,7.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d5e512dbc8118a830a7b8c7f61d89992,4.034708651341069,0.0,3.493179120682515,3.081196034627009,0.0,1.3412366232386923,0.16463699999999998,0.087381,44.31137796,0,2.544663240170119,14.52,14.52,1,108.5,11.5,0,5,53.0,6.0,53.0,5.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6ee77a019251bcc304c88167e0dfcb4c,3.6476763132408707,0.0,3.3961993470957363,2.750477538019339,0.0,1.3324384599156054,0.16708599999999998,0.08844400000000001,46.30537836,0,2.4905343458036757,21.09,21.09,1,18.41,10.392000000000001,0,7,73.0,10.0,73.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2c05848e1a577dd041ea6804bbf5bbf5,4.663908131452911,0.7604658508365827,3.7227161674884948,3.6535434165857157,0.0,2.166755638665238,0.11523699999999999,0.100123,40.606701,1,2.7198945098717098,5.52,5.52,2,533.46,16.5,0,5,52.0,9.0,26.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21860c2ff2d5df75503b230ce629c253,3.888010912245029,0.0,0.0,2.9614685553507862,0.0,1.8788663369567253,0.162327,0.084428,44.31137796,0,0.0,33.12,33.12,1,89.02,13.2,0,4,35.0,12.0,1.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
227254ed8be1393d5e37e6dc9c3f359b,4.741033353768175,0.0,3.9400181550076634,3.247076762666275,0.0,0.0,0.098925,0.09135,58.99595196,0,2.4652489729271365,-2.08,-2.08,1,140.26,10.0,0,3,37.0,9.0,3.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
c5037389dd8be351d3c40f2973da2391,3.987129767659897,0.0,0.0,3.01263478787029,0.0,1.2140486794119414,0.168242,0.089602,45.30837756,0,0.0,15.78,15.78,1,111.59,13.856,0,6,61.0,11.0,61.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
e4773b60d2e68aac94795782abfc006b,4.67228262478892,0.0,3.49996186559619,3.227447048084791,0.0,1.2324878663529861,0.144902,0.0,44.31137796,0,2.2028423651946323,19.28,19.28,1,130.14,10.392000000000001,0,4,44.0,3.0,44.0,8.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
bd14bbac3aca710ee5288fcd8511d4bb,5.895719157369822,4.906248820942806,4.933912263261567,4.130928505373132,0.0,1.24551266781415,0.16405799999999998,0.086163,44.31137796,1,3.4126923332972745,25.68,25.68,2,1087.76,11.4,0,5,70.0,1.0,70.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4e4a34a6d91ff25d0fdf68733907ad44,4.488226284535642,0.0,0.0,3.483752710980379,0.0,2.0764219673605933,0.11285999999999999,0.09652100000000001,40.606701,0,0.0,19.29,19.29,1,335.78,25.0,0,4,53.0,6.0,17.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2b93783adecf0d0d8d60ab547bda3de,4.395134107477812,0.0,3.4590907896005865,3.037167437742301,0.0,2.154697793596388,0.115174,0.098837,40.606701,0,1.9050399280762116,21.57,21.57,1,117.44,15.001,0,5,55.0,4.0,55.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47e976c5d7f1ee1fee6d60ca39fd0218,4.187859000340963,0.0,0.0,2.2909690089485166,0.0,1.2857822737793947,0.14571099999999998,0.0,44.31137796,0,0.0,23.97,23.97,1,19.07,13.0,0,4,43.0,4.0,43.0,7.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
db6ac41fb6972374f28bc6f8e43b9764,4.224869594573257,0.0,3.280805928393667,3.2272875304472555,0.0,2.1230999552555745,0.11523699999999999,0.100123,40.606701,1,2.2805556080062743,6.6,6.6,2,203.35,19.8,0,7,75.0,9.0,75.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
bee0c7e972180fbee50c2ea15b12965c,4.431170701483257,0.0,3.6127838567197355,3.4413730257342547,0.0,2.117105502761251,0.11863599999999999,0.10175,40.606701,0,2.6177130898634275,47.35,47.35,1,316.53,35.0,0,5,57.0,2.0,57.0,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78014630fbac3e6aa980361d25cea748,4.313044233082023,0.0,3.5803546611065915,3.482704976051668,0.0,0.0,0.14241700000000002,0.0,44.31137796,0,2.7402758219108154,4.14,4.14,1,255.96,11.0,0,4,36.0,11.0,2.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
050706fa01538720da274cbeb6e1f983,4.32424128799287,0.0,0.0,3.353914308408441,0.0024033777200389737,2.0483641052798864,0.13536339220165514,0.05295074349405335,43.67448504099181,0,0.0,25.92,25.92,1,291.78,17.320999999999998,1,3,32.0,3.0,1.0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5789c446141a44a9b405db35682f6eb5,4.084862139048422,0.0,0.0,3.152230230670037,0.0,1.2410481506716444,0.160302,0.082403,44.31137796,0,0.0,23.4,23.4,2,123.87,10.392000000000001,0,2,34.0,1.0,0.0,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ed5bc499fecb8eee257857fd286ebd65,4.118033128828567,0.0,0.0,3.2863262067802546,0.0,1.3119656603683663,0.143478,0.0,44.31137796,0,0.0,3.56,3.56,1,150.7,13.2,0,7,72.0,11.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
389bbbe70248fbeecdf9bb1bd0d1da04,3.554489160003819,0.0,2.509202522331103,2.5807311527409778,0.0,2.1672582430436282,0.11523699999999999,0.100123,41.1052014,0,1.5264685124694775,57.72,57.72,1,38.76,23.1,1,6,61.0,10.0,61.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31615bef53242dfedeaf275214044ca1,3.4204508591060683,0.0,0.0,2.597508706345153,0.0,1.2299376859079338,0.14571099999999998,0.0,44.31137796,0,0.0,14.64,14.64,1,38.62,10.392000000000001,0,6,65.0,6.0,65.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74ff037708f036de5745ce34d8d9d4df,3.680607428991788,0.0,0.0,2.857573704147496,0.0,0.0,0.144039,0.0,45.80687796,0,0.0,19.42,19.42,1,60.0,12.5,0,5,48.0,11.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7287dad2f1f535d03435ea7c78b557c4,3.9004217534577377,0.0,3.041787318971752,2.933391104760952,0.0,2.1243737864846297,0.11523699999999999,0.100123,40.9390266,0,2.0600175425316003,20.0,20.0,1,94.01,15.01,0,7,75.0,9.0,75.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
